batch_id,group_name,product_id,product_name,risk_level,recommended_decision,blocker,operator_action,review_priority
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,1cc00e24-746b-4057-bf59-c82d6ecf0c56,【 FASHION KAMPUNG 】X688 199Speed Portable Handheld Fan USB Rechargeable Mini Cooling Fan Adjustable Pocket Fan for Outdoor Camping Travel Home Office Fan,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,274a59af-1bb9-4d93-b883-99454aff2297,Mini USB LED Plug Lamp Mobile Power Charging USB Night Light Eye Protection Reading Bulb Indoor Bedroom Sleeping,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,2a1e670d-a81d-4a42-a182-f9513b05eca4,【Pin Blink ii】5pcs Kerongsang Blink-blink Comel Pin Hijab Kerongsang Pin Tudung Brooches Kerongsang Gilitter Blink-Blink Brooch Pin Hijab Pin Tudung Peniti Clips,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,4e0d386d-af76-49ef-b670-1679056e46c8,Propappa - Non-Stick Korean BBQ Grill Pan Camping Grill Pan Griddle Grill Pan | Kuali Pemanggang BBQ Korea Tidak Melekat,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,7a6d9004-7b86-49d6-9ad5-3cd8598179e6,HOMEWORTH 3pcs Ceramic Bowl Set with Air-Tight Lid – Microwave Safe | Wedding Gift | Kitchen Essentials hadiah kahwin set pinggan mangkuk set Kitchen Cutlery Kitchenware Tableware,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,84c246ff-17d4-4119-86ee-d7e2f0e9be94,【 FREE SHIPPING 】199SPEED X688 Portable Handheld Fan USB Rechargeable Mini Cooling Fan Adjustable Pocket Fan for Outdoor Camping Travel Home Office Fan,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,8a8e951c-e92f-477b-8c3a-893f88ffe25c,"Pemegang telefon magnetik 3 dalam 1 ini menyokong MagSafe, mempunyai tripod berputar 360°, pengait karabina, dan serasi dengan iPhone 17 dan 12.Ia sesuai untuk digunakan pada papan pemuka kereta, gim, dapur, pejabat, dan lokasi lain.",LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,92150166-ebb6-439c-97bb-0c3a8fb1f824,"Penutup makanan, plastik pakai buang, penutup elastik berwarna cerah, penutup kalis udara, penutup pinggan, beg pembungkusan dapur, beg simpanan",LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,99205001-9ea9-4e90-9287-5aab3cb1f3f5,HOTOP 360° Rotatable Car Phone Holder For Dashboard And Windshield Suction Cup Cell Phone Mount Mobile Phone Support Compatible With iPhone Huawei Samsung Android Accessories car phone car phone universal custom width,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,9e674932-25c8-400e-975b-4111f4399296,X688 Portable Handheld Fan USB Rechargeable Mini Cooling Fan Adjustable Pocket Fan for Outdoor Camping Travel Home Office Fan,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,ab730155-b3c6-4c58-b108-c796564139a3,Pin Berlian Buatan Keselamatan 11 Pins dalam Satu Kotak Gancu Selendang Kerongsang Pin Berlian Pinggang Tetap Klip untuk Seluar Jeans Fesyen tudung besar di bahu Clips/ Tahan Karat/ Bead/ Gelap,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,b5c5785a-d41d-487d-b846-fce410a8beee,"Set Jarum Keluli Hidung, Saiz Besar, 34 Keping, untuk Menjahit Pakaian dan Kuilt, Jarum Mata dan Langsing Tradisional, Sesuai untuk Menjahit Pakaian, Set 34 Keping Jahitan",LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,dc7ff436-ac59-45c4-a5b3-c52782284d32,"Pin Huruf, Reka Bentuk Cinta, dengan Kerongsang Bunga Mutiara Bertatah Berlian, Reka Bentuk Anti-Cahaya, Mampu Milik, Mewah dan Elegan, Aksesori",LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
BATCH_1,ACCESSORIES_AND_SMALL_ITEMS,f4981152-6acd-4d01-8f2b-34ed362e537a,AbangS Anak tudung Sarung kapas sejuk pink belacan Hijab,LOW_RISK_READY_FOR_OPERATOR_REVIEW,APPROVE_CLAIM_SAFE_CANDIDATE,None,Approve claim-safe rewrite,HIGH
